timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1771216196897,39,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,39,0,3
1771216196940,55,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,55,0,2
1771216196958,40,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,40,0,2
1771216196917,104,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,104,0,1
1771216197054,25,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,25,0,2
1771216197071,27,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,27,0,2
1771216197111,34,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,34,0,2
1771216197129,38,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,38,0,1
1771216197165,35,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,35,0,2
1771216197205,30,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,30,0,2
1771216197221,33,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,33,0,2
1771216197238,31,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,31,0,2
1771216197246,80,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,80,0,2
1771216197262,79,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,79,0,2
1771216197217,146,HTTP Request,201,Created,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,285,251,20,20,http://localhost:8000/api/v1/tasks,146,0,1
